#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Tue Mar 06 16:41:05 EST 2018,42,42,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ EfficiencyTest1+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest3+ , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EverythingTest- GetMinTest1- GetMinTest2- GetMinTest3- SizeTest1- SizeTest2- SizeTest4- , ,
1,Tue Mar 06 17:19:54 EST 2018,36,-6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 EfficiencyTest1 InsertTest1 InsertTest2 InsertTest3 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 SizeTest1 SizeTest2 SizeTest3- SizeTest4 , ,
2,Tue Mar 06 17:26:24 EST 2018,73,37,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3+ DelMinTest4+ EfficiencyTest1 GetMinTest2+ InsertTest1 InsertTest2 InsertTest3 SizeTest1+ SizeTest2+ SizeTest3+ SizeTest4+ , ,DelMinTest1 DelMinTest2 EverythingTest GetMinTest1 GetMinTest3 , ,
3,Tue Mar 06 17:40:11 EST 2018,73,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 DelMinTest4 EfficiencyTest1 GetMinTest1+ GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1- DelMinTest1 DelMinTest2 EverythingTest GetMinTest3 , ,
4,Tue Mar 06 17:43:38 EST 2018,73,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 DelMinTest4 EfficiencyTest1 GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest1 DelMinTest2 EverythingTest GetMinTest3 , ,
5,Tue Mar 06 17:45:01 EST 2018,21,-52,Assignment3Suite,BuildTest2 BuildTest3 EfficiencyTest1 GetMinTest1 , ,BuildTest1 DelMinTest1 DelMinTest2 DelMinTest3- DelMinTest4- EverythingTest GetMinTest2- GetMinTest3 InsertTest1- InsertTest2- InsertTest3- SizeTest1- SizeTest2- SizeTest3- SizeTest4- , ,
6,Tue Mar 06 17:45:24 EST 2018,73,52,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3+ DelMinTest4+ EfficiencyTest1 GetMinTest1 GetMinTest2+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest1+ SizeTest2+ SizeTest3+ SizeTest4+ , ,BuildTest1 DelMinTest1 DelMinTest2 EverythingTest GetMinTest3 , ,
7,Tue Mar 06 17:46:19 EST 2018,68,-5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest1 DelMinTest2 EfficiencyTest1- EverythingTest GetMinTest3 , ,
8,Tue Mar 06 17:48:02 EST 2018,73,5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest3 DelMinTest4 EfficiencyTest1+ GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest1 DelMinTest2 EverythingTest GetMinTest3 , ,
9,Tue Mar 06 17:58:43 EST 2018,89,16,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1+ DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest+ GetMinTest1 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 DelMinTest2 , ,
10,Tue Mar 06 18:10:35 EST 2018,94,5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2+ DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 , ,
11,Tue Mar 06 18:14:32 EST 2018,89,-5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EfficiencyTest1- , ,
12,Tue Mar 06 18:14:54 EST 2018,94,5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1+ EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 , ,
13,Tue Mar 06 18:15:22 EST 2018,94,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 , ,
14,Tue Mar 06 18:24:55 EST 2018,63,-31,Assignment3Suite,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 BuildTest2- BuildTest3- EfficiencyTest1- EverythingTest- GetMinTest1- GetMinTest3- , ,
15,Tue Mar 06 18:25:08 EST 2018,89,26,Assignment3Suite,BuildTest2+ BuildTest3+ DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1+ GetMinTest1+ GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EverythingTest , ,
16,Tue Mar 06 18:27:41 EST 2018,94,5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest+ GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 , ,
17,Tue Mar 06 18:28:01 EST 2018,94,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EfficiencyTest1 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 , ,
18,Tue Mar 06 18:28:45 EST 2018,89,-5,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EfficiencyTest1- , ,
19,Tue Mar 06 18:28:58 EST 2018,89,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EfficiencyTest1 , ,
20,Tue Mar 06 18:31:02 EST 2018,89,0,Assignment3Suite,BuildTest2 BuildTest3 DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EfficiencyTest1 , ,
21,Tue Mar 06 18:32:41 EST 2018,63,-26,Assignment3Suite,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 BuildTest2- BuildTest3- EfficiencyTest1 EverythingTest- GetMinTest1- GetMinTest3- , ,
22,Tue Mar 06 18:35:06 EST 2018,89,26,Assignment3Suite,BuildTest2+ BuildTest3+ DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest+ GetMinTest1+ GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 EfficiencyTest1 , ,
